sessionSourceMedium,sessions_current,sessions_previous,sessions_delta,sessions_delta_pct,totalUsers_current,totalUsers_previous,totalUsers_delta,totalUsers_delta_pct,engagedSessions_current,engagedSessions_previous,engagedSessions_delta,engagedSessions_delta_pct,screenPageViews_current,screenPageViews_previous,screenPageViews_delta,screenPageViews_delta_pct
bing / organic,1533,1258,275,21.86%,1267,1023,244,23.85%,877,679,198,29.16%,2324,1369,955,69.76%
google / organic,1026,992,34,3.43%,850,853,-3,-0.35%,577,578,-1,-0.17%,1020,1023,-3,-0.29%
(direct) / (none),460,401,59,14.71%,441,389,52,13.37%,96,64,32,50%,473,406,67,16.5%
duckduckgo / organic,71,54,17,31.48%,64,42,22,52.38%,40,28,12,42.86%,78,49,29,59.18%
yahoo / organic,56,44,12,27.27%,53,41,12,29.27%,33,29,4,13.79%,64,45,19,42.22%
chatgpt.com / referral,26,15,11,73.33%,23,13,10,76.92%,16,8,8,100%,145,13,132,1015.38%
t.co / referral,24,14,10,71.43%,23,13,10,76.92%,11,6,5,83.33%,25,19,6,31.58%
cn.bing.com / referral,19,28,-9,-32.14%,14,19,-5,-26.32%,10,7,3,42.86%,18,24,-6,-25%
chatgpt.com / (not set),12,3,9,300%,12,3,9,300%,8,3,5,166.67%,14,4,10,250%
statics.teams.cdn.office.net / referral,9,0,9,,5,0,5,,3,0,3,,6,0,6,
openai / (not set),7,0,7,,7,0,7,,6,0,6,,63,0,63,
perplexity.ai / referral,7,5,2,40%,5,3,2,66.67%,3,2,1,50%,6,3,3,100%
service.smt.docomo.ne.jp / referral,7,3,4,133.33%,6,3,3,100%,5,2,3,150%,8,3,5,166.67%
(not set),6,6,0,0%,6,6,0,0%,0,0,0,,6,0,6,
doubao.com / referral,5,0,5,,5,0,5,,3,0,3,,5,0,5,
ecosia.org / organic,5,1,4,400%,4,1,3,300%,2,0,2,,4,1,3,300%
confluence.daj-net.daj.co.jp:8443 / referral,4,0,4,,2,0,2,,2,0,2,,3,0,3,
openai / organic,4,0,4,,4,0,4,,4,0,4,,17,0,17,
copilot.com / (not set),3,2,1,50%,3,2,1,50%,1,1,0,0%,2,2,0,0%
github.com / referral,3,0,3,,1,0,1,,1,0,1,,2,0,2,
hitachigroup.okta.com / referral,2,1,1,100%,1,1,0,0%,0,1,-1,-100%,1,1,0,0%
in.search.yahoo.com / referral,2,0,2,,2,0,2,,2,0,2,,2,0,2,
perplexity / (not set),2,1,1,100%,2,1,1,100%,2,0,2,,2,1,1,100%
rss / rss,2,8,-6,-75%,2,4,-2,-50%,1,1,0,0%,2,5,-3,-60%
search.portal.auone.jp / referral,2,0,2,,2,0,2,,2,0,2,,3,0,3,
br.search.yahoo.com / referral,1,0,1,,1,0,1,,1,0,1,,1,0,1,
claude.ai / referral,1,1,0,0%,1,1,0,0%,0,1,-1,-100%,1,1,0,0%
de.search.yahoo.com / referral,1,0,1,,1,0,1,,1,0,1,,1,0,1,
docs.google.com / referral,1,0,1,,1,0,1,,0,0,0,,1,0,1,
es.search.yahoo.com / referral,1,0,1,,1,0,1,,1,0,1,,1,0,1,
kagi.com / referral,1,1,0,0%,1,1,0,0%,1,0,1,,1,1,0,0%
petalsearch.com / referral,1,0,1,,1,0,1,,1,0,1,,1,0,1,
prisma-cp.paprisma:6082 / referral,1,4,-3,-75%,1,2,-1,-50%,1,0,1,,1,2,-1,-50%
safe.menlosecurity.com / referral,1,0,1,,1,0,1,,1,0,1,,1,0,1,
uk.search.yahoo.com / referral,1,0,1,,1,0,1,,0,0,0,,1,0,1,
us.search.yahoo.com / referral,1,1,0,0%,1,1,0,0%,0,1,-1,-100%,1,1,0,0%
vercel.com / referral,1,7,-6,-85.71%,1,1,0,0%,0,6,-6,-100%,1,13,-12,-92.31%
copilot.com / referral,0,6,-6,-100%,0,5,-5,-100%,0,3,-3,-100%,0,10,-10,-100%
au.search.yahoo.com / referral,0,3,-3,-100%,0,2,-2,-100%,0,2,-2,-100%,0,4,-4,-100%
qwant.com / organic,0,2,-2,-100%,0,2,-2,-100%,0,2,-2,-100%,0,2,-2,-100%
coaching.mwginternal.com / referral,0,1,-1,-100%,0,1,-1,-100%,0,1,-1,-100%,0,1,-1,-100%
copy / social,0,1,-1,-100%,0,1,-1,-100%,0,0,0,,0,0,0,
emea.search.yahoo.com / referral,0,1,-1,-100%,0,1,-1,-100%,0,1,-1,-100%,0,1,-1,-100%
sanganzhu.com / referral,0,1,-1,-100%,0,1,-1,-100%,0,0,0,,0,1,-1,-100%
search.fenrir-inc.com / referral,0,1,-1,-100%,0,1,-1,-100%,0,1,-1,-100%,0,1,-1,-100%
websearch.rakuten.co.jp / referral,0,1,-1,-100%,0,1,-1,-100%,0,0,0,,0,1,-1,-100%
www2.bing.com / referral,0,1,-1,-100%,0,1,-1,-100%,0,1,-1,-100%,0,1,-1,-100%
