date,sessionDefaultChannelGroup,sessions
20260318,Organic Search,247
20260417,Organic Search,234
20260331,Organic Search,230
20260327,Organic Search,222
20260416,Organic Search,216
20260408,Organic Search,203
20260319,Organic Search,199
20260415,Organic Search,196
20260414,Organic Search,193
20260413,Organic Search,184
20260407,Organic Search,166
20260324,Organic Search,164
20260401,Organic Search,163
20260406,Organic Search,163
20260323,Organic Search,161
20260402,Organic Search,161
20260409,Organic Search,158
20260317,Organic Search,156
20260326,Organic Search,156
20260403,Organic Search,143
20260325,Organic Search,142
20260330,Organic Search,125
20260316,Organic Search,121
20260418,Organic Search,117
20260320,Organic Search,96
20260404,Organic Search,82
20260314,Organic Search,68
20260315,Organic Search,63
20260328,Organic Search,62
20260405,Organic Search,60
20260321,Organic Search,57
20260322,Organic Search,57
20260329,Organic Search,57
20260415,Direct,43
20260325,Direct,40
20260327,Direct,40
20260413,Direct,37
20260414,Direct,37
20260324,Direct,34
20260326,Direct,32
20260402,Direct,32
20260417,Direct,32
20260319,Direct,29
20260403,Direct,29
20260408,Direct,27
20260416,Direct,26
20260323,Direct,25
20260401,Direct,25
20260318,Direct,24
20260418,Direct,24
20260314,Direct,21
20260409,Direct,21
20260330,Direct,19
20260316,Direct,18
20260329,Direct,17
20260317,Direct,16
20260331,Direct,16
20260405,Direct,16
20260315,Direct,15
20260320,Direct,15
20260321,Direct,15
20260407,Direct,15
20260322,Direct,14
20260328,Direct,11
20260404,Direct,11
20260405,Organic Social,10
20260406,Direct,10
20260407,Referral,10
20260415,Referral,9
20260402,Referral,8
20260408,Referral,8
20260318,Referral,7
20260326,Referral,7
20260314,Referral,6
20260416,Referral,6
20260325,Referral,5
20260316,Unassigned,4
20260317,Referral,4
20260319,Referral,4
20260331,Referral,4
20260401,Referral,4
20260417,Referral,4
20260318,Organic Social,3
20260322,Unassigned,3
20260326,Unassigned,3
20260401,Unassigned,3
20260405,Referral,3
20260406,Unassigned,3
20260407,Organic Social,3
20260409,Unassigned,3
20260315,Referral,2
20260321,Unassigned,2
20260323,Referral,2
20260326,Organic Social,2
20260327,Organic Social,2
20260327,Referral,2
20260402,Unassigned,2
20260403,Referral,2
20260404,Organic Social,2
20260404,Referral,2
20260404,Unassigned,2
20260405,Unassigned,2
20260413,Referral,2
20260413,Unassigned,2
20260414,Referral,2
20260414,Unassigned,2
20260417,Unassigned,2
20260418,Referral,2
20260314,Organic Social,1
20260315,Unassigned,1
20260317,Unassigned,1
20260318,Unassigned,1
20260319,Organic Social,1
20260319,Unassigned,1
20260320,Unassigned,1
20260321,Organic Social,1
20260321,Referral,1
20260322,Organic Social,1
20260324,Unassigned,1
20260325,Organic Social,1
20260325,Unassigned,1
20260328,Organic Social,1
20260328,Referral,1
20260329,Organic Social,1
20260330,Referral,1
20260331,Organic Social,1
20260331,Unassigned,1
20260401,Organic Social,1
20260402,Organic Social,1
20260403,Organic Social,1
20260403,Unassigned,1
20260406,Organic Social,1
20260406,Referral,1
20260407,Unassigned,1
20260408,Organic Social,1
20260408,Unassigned,1
20260409,Referral,1
20260413,Organic Social,1
20260415,Unassigned,1
20260416,Organic Social,1
20260417,Organic Social,1
20260418,Organic Social,1
