landingPagePlusQueryString,sessions_current,sessions_previous,sessions_delta,sessions_delta_pct,totalUsers_current,totalUsers_previous,totalUsers_delta,totalUsers_delta_pct,screenPageViews_current,screenPageViews_previous,screenPageViews_delta,screenPageViews_delta_pct,engagedSessions_current,engagedSessions_previous,engagedSessions_delta,engagedSessions_delta_pct,averageSessionDuration_current,averageSessionDuration_previous,averageSessionDuration_delta,averageSessionDuration_delta_pct
(not set),277,261,16,6.13%,268,257,11,4.28%,0,0,0,,1,1,0,0%,0.21051237545126353,0.06504763984674329,0.15,223.63%
/archives/149,203,179,24,13.41%,159,146,13,8.9%,225,199,26,13.07%,50,49,1,2.04%,53.36443759113301,50.13698670391062,3.23,6.44%
/archives/105,179,140,39,27.86%,171,137,34,24.82%,212,177,35,19.77%,132,104,28,26.92%,118.41714031843574,402.6303772642857,-284.21,-70.59%
/archives/2590,135,96,39,40.63%,127,93,34,36.56%,153,105,48,45.71%,101,63,38,60.32%,162.8180103851852,147.23808866666664,15.58,10.58%
/archives/4006,105,44,61,138.64%,100,43,57,132.56%,119,50,69,138%,60,31,29,93.55%,129.2286052,5645.374679704545,-5516.15,-97.71%
/jp/calendar/2026,84,0,84,,83,0,83,,551,0,551,,72,0,72,,214.9168217738095,0,214.92,
/jp/calendar/2026/04,75,0,75,,63,0,63,,216,0,216,,56,0,56,,143.3017715866667,0,143.3,
/archives/3999,58,21,37,176.19%,48,20,28,140%,63,22,41,186.36%,36,13,23,176.92%,158.93249377586207,96.85753419047619,62.07,64.09%
/archives/996,54,22,32,145.45%,51,21,30,142.86%,55,22,33,150%,34,15,19,126.67%,71.08019566666665,325.1839065454546,-254.1,-78.14%
/archives/633,53,28,25,89.29%,51,28,23,82.14%,62,30,32,106.67%,24,16,8,50%,54.517046283018864,34.90827864285715,19.61,56.17%
/jp/calendar,51,22,29,131.82%,46,22,24,109.09%,337,149,188,126.17%,43,13,30,230.77%,260.06692378431376,164.63939954545455,95.43,57.96%
/archives/209,48,71,-23,-32.39%,45,67,-22,-32.84%,59,75,-16,-21.33%,23,43,-20,-46.51%,88.3246360625,164.48589852112676,-76.16,-46.3%
/archives/185,43,71,-28,-39.44%,42,65,-23,-35.38%,48,79,-31,-39.24%,20,44,-24,-54.55%,137.42370211627906,141.99385395774647,-4.57,-3.22%
/archives/4154,42,0,42,,39,0,39,,61,0,61,,30,0,30,,91.59784773809524,0,91.6,
/tools/spacing,38,11,27,245.45%,36,11,25,227.27%,56,12,44,366.67%,22,4,18,450%,192.21388457894736,41.07547527272727,151.14,367.95%
/archives/2750,37,30,7,23.33%,37,30,7,23.33%,38,33,5,15.15%,28,24,4,16.67%,94.14083143243244,56.69755373333334,37.44,66.04%
/,35,33,2,6.06%,33,32,1,3.13%,45,41,4,9.76%,6,8,-2,-25%,41.17471877142857,151.31332681818182,-110.14,-72.79%
/archives/1166,34,28,6,21.43%,34,28,6,21.43%,36,28,8,28.57%,23,16,7,43.75%,244.07513823529408,125.19848675,118.88,94.95%
/archives/2672,34,62,-28,-45.16%,30,59,-29,-49.15%,39,75,-36,-48%,20,37,-17,-45.95%,229.43239188235296,107.8218519032258,121.61,112.79%
/archives/3776,34,3,31,1033.33%,33,3,30,1000%,36,3,33,1100%,26,3,23,766.67%,179.96655123529413,82.810935,97.16,117.32%
/jp/calendar/2026/05,33,0,33,,31,0,31,,98,0,98,,27,0,27,,322.3709520909091,0,322.37,
/archives/411,32,17,15,88.24%,29,15,14,93.33%,36,17,19,111.76%,23,8,15,187.5%,131.84908090625,125.81872823529412,6.03,4.79%
/articles/tsuki-betsu-kateisaien-calendar,30,17,13,76.47%,29,17,12,70.59%,34,17,17,100%,12,12,0,0%,51.984475333333336,49.876366764705885,2.11,4.23%
/archives/3079,29,9,20,222.22%,26,8,18,225%,30,9,21,233.33%,19,5,14,280%,230.9028025862069,194.42826988888888,36.47,18.76%
/archives/3506,29,30,-1,-3.33%,29,28,1,3.57%,31,31,0,0%,20,14,6,42.86%,309.6499499310345,132.95316116666666,176.7,132.9%
/archives/492,27,28,-1,-3.57%,26,26,0,0%,27,30,-3,-10%,17,18,-1,-5.56%,123.25864174074074,150.36460325000002,-27.11,-18.03%
/archives/3290,26,24,2,8.33%,23,24,-1,-4.17%,27,27,0,0%,19,17,2,11.76%,79.16326496153846,42.745335875,36.42,85.2%
/archives/443,26,46,-20,-43.48%,26,45,-19,-42.22%,28,51,-23,-45.1%,17,33,-16,-48.48%,42.714897961538455,99.8899447173913,-57.18,-57.24%
/archives/1083,22,8,14,175%,21,8,13,162.5%,23,8,15,187.5%,12,4,8,200%,28.645719454545453,13.020209375,15.63,120.01%
/archives/586,22,11,11,100%,20,11,9,81.82%,23,12,11,91.67%,12,4,8,200%,221.7809256818182,101.70747072727274,120.07,118.06%
/archives/3200,21,30,-9,-30%,18,28,-10,-35.71%,21,32,-11,-34.37%,9,15,-6,-40%,124.93216285714286,117.45945686666666,7.47,6.36%
/archives/663,21,3,18,600%,21,3,18,600%,24,3,21,700%,13,2,11,550%,101.92550528571428,164.027043,-62.1,-37.86%
/archives/670,21,2,19,950%,20,2,18,900%,21,2,19,950%,15,1,14,1400%,272.7942841904762,52.4830225,220.31,419.78%
/archives/362,20,20,0,0%,20,15,5,33.33%,26,21,5,23.81%,14,9,5,55.56%,277.61875339999995,126.25182179999999,151.37,119.89%
/archives/4189,20,0,20,,19,0,19,,20,0,20,,17,0,17,,107.68957714999999,0,107.69,
/archives/2546,19,27,-8,-29.63%,19,27,-8,-29.63%,19,27,-8,-29.63%,14,16,-2,-12.5%,50.93959626315789,119.51057125925925,-68.57,-57.38%
/archives/3229,19,7,12,171.43%,14,7,7,100%,19,7,12,171.43%,8,4,4,100%,71.41374452631578,162.30810485714287,-90.89,-56%
/archives/579,19,13,6,46.15%,16,11,5,45.45%,19,20,-1,-5%,14,6,8,133.33%,228.7056066842105,231.81751069230768,-3.11,-1.34%
/archives/2595,18,14,4,28.57%,18,14,4,28.57%,18,16,2,12.5%,8,9,-1,-11.11%,56.88263383333333,180.43953907142858,-123.56,-68.48%
/archives/3301,18,27,-9,-33.33%,17,22,-5,-22.73%,19,27,-8,-29.63%,11,17,-6,-35.29%,931.8746351666666,85.24782622222222,846.63,993.14%
/archives/3672,18,34,-16,-47.06%,18,33,-15,-45.45%,20,36,-16,-44.44%,8,11,-3,-27.27%,265.7044323888889,136.72188226470587,128.98,94.34%
/archives/1242,17,7,10,142.86%,14,7,7,100%,21,7,14,200%,12,7,5,71.43%,373.2810955882353,385.486497,-12.21,-3.17%
/archives/3670,17,4,13,325%,14,4,10,250%,19,4,15,375%,10,1,9,900%,284.78851135294116,58.52750425,226.26,386.59%
/archives/598,17,5,12,240%,15,5,10,200%,19,5,14,280%,10,1,9,900%,161.99163970588233,10.769568199999998,151.22,1404.16%
/archives/240,16,68,-52,-76.47%,16,66,-50,-75.76%,17,69,-52,-75.36%,9,34,-25,-73.53%,69.3942396875,35.57618361764706,33.82,95.06%
/archives/2633,16,33,-17,-51.52%,16,32,-16,-50%,16,38,-22,-57.89%,11,25,-14,-56%,68.34284975,79.24882936363636,-10.91,-13.76%
/archives/3189,16,7,9,128.57%,15,7,8,114.29%,16,7,9,128.57%,7,5,2,40%,76.460041625,69.05485900000001,7.41,10.72%
