eventName,eventCount_current,eventCount_previous,eventCount_delta,eventCount_delta_pct,totalUsers_current,totalUsers_previous,totalUsers_delta,totalUsers_delta_pct,keyEvents_current,keyEvents_previous,keyEvents_delta,keyEvents_delta_pct
page_view,4902,4137,765,18.49%,3026,2442,584,23.91%,0,0,0,
session_start,3516,2850,666,23.37%,3028,2446,582,23.79%,0,0,0,
first_visit,2945,2365,580,24.52%,2942,2365,577,24.4%,0,0,0,
user_engagement,2230,2008,222,11.06%,1933,1752,181,10.33%,0,0,0,
zdk_debug_search_boot,1907,1828,79,4.32%,1659,1568,91,5.8%,0,0,0,
scroll,518,405,113,27.9%,463,374,89,23.8%,0,0,0,
zdk_debug_search_hidden,181,179,2,1.12%,150,160,-10,-6.25%,0,0,0,
click,148,166,-18,-10.84%,117,123,-6,-4.88%,0,0,0,
lp_quote_cta_click,4,0,4,,2,0,2,,0,0,0,
cta_click,2,0,2,,2,0,2,,2,0,2,
form_start,1,9,-8,-88.89%,1,8,-7,-87.5%,0,0,0,
form_submit,1,9,-8,-88.89%,1,8,-7,-87.5%,0,0,0,
lp_cta_click,0,1,-1,-100%,0,1,-1,-100%,0,0,0,
view_search_results,0,1,-1,-100%,0,1,-1,-100%,0,0,0,
zdk_debug_search_bfcache,0,1,-1,-100%,0,1,-1,-100%,0,0,0,
