landingPagePlusQueryString,sessions_current,sessions_previous,sessions_delta,sessions_delta_pct,totalUsers_current,totalUsers_previous,totalUsers_delta,totalUsers_delta_pct,screenPageViews_current,screenPageViews_previous,screenPageViews_delta,screenPageViews_delta_pct,engagedSessions_current,engagedSessions_previous,engagedSessions_delta,engagedSessions_delta_pct,averageSessionDuration_current,averageSessionDuration_previous,averageSessionDuration_delta,averageSessionDuration_delta_pct
(not set),278,225,53,23.56%,274,219,55,25.11%,0,0,0,,0,0,0,,0.04515390647482014,0.037986964444444445,0.01,18.87%
/jp/calendar/2026/05,176,71,105,147.89%,166,69,97,140.58%,569,198,371,187.37%,134,59,75,127.12%,693.9251353579546,258.8989785070422,435.03,168.03%
/archives/149,167,167,0,0%,148,135,13,9.63%,188,188,0,0%,43,42,1,2.38%,50.13360173053892,60.73811108982035,-10.6,-17.46%
/jp/calendar/2026,158,140,18,12.86%,153,137,16,11.68%,628,728,-100,-13.74%,113,118,-5,-4.24%,128.0945899050633,179.30211122857142,-51.21,-28.56%
/archives/2590,149,107,42,39.25%,133,102,31,30.39%,165,117,48,41.03%,98,81,17,20.99%,230.24281077181206,159.2827909439252,70.96,44.55%
/archives/2726,96,0,96,,91,0,91,,106,0,106,,63,0,63,,220.64463544791667,0,220.64,
/archives/105,86,144,-58,-40.28%,81,139,-58,-41.73%,102,170,-68,-40%,62,107,-45,-42.06%,85.20501369767442,115.33190733333335,-30.13,-26.12%
/jp/calendar/2026/06,86,15,71,473.33%,81,14,67,478.57%,250,98,152,155.1%,69,12,57,475%,266.9226139883721,215.96666046666667,50.96,23.59%
/archives/185,60,38,22,57.89%,55,37,18,48.65%,70,42,28,66.67%,31,19,12,63.16%,99.70747481666666,156.26015763157895,-56.55,-36.19%
/archives/3999,60,53,7,13.21%,54,45,9,20%,61,59,2,3.39%,38,33,5,15.15%,920.1084984833334,156.17765433962265,763.93,489.14%
/jp/calendar/2026/04,56,113,-57,-50.44%,52,99,-47,-47.47%,214,311,-97,-31.19%,43,81,-38,-46.91%,164.84231339285716,135.69658442477876,29.15,21.48%
/,49,33,16,48.48%,44,33,11,33.33%,106,41,65,158.54%,9,3,6,200%,35.91637248979592,10.318522787878788,25.6,248.08%
/archives/411,47,29,18,62.07%,45,25,20,80%,51,33,18,54.55%,30,19,11,57.89%,79.00769704255319,140.38436655172413,-61.38,-43.72%
/archives/3290,44,30,14,46.67%,43,27,16,59.26%,46,32,14,43.75%,26,21,5,23.81%,113.3982895,61.4488043,51.95,84.54%
/archives/4006,38,70,-32,-45.71%,31,62,-31,-50%,40,83,-43,-51.81%,22,39,-17,-43.59%,164.87490828947367,145.64571435714288,19.23,13.2%
/jp/calendar,38,47,-9,-19.15%,32,44,-12,-27.27%,133,295,-162,-54.92%,24,41,-17,-41.46%,426.63144873684206,259.94716968085106,166.68,64.12%
/tools/spacing,36,28,8,28.57%,33,28,5,17.86%,48,45,3,6.67%,27,17,10,58.82%,115.20263230555555,258.4854165357143,-143.28,-55.43%
/archives/580,35,12,23,191.67%,35,12,23,191.67%,37,12,25,208.33%,22,7,15,214.29%,127.68487100000002,90.71169099999999,36.97,40.76%
/archives/3017,34,21,13,61.9%,32,17,15,88.24%,36,21,15,71.43%,12,9,3,33.33%,115.83457044117647,50.03651785714286,65.8,131.5%
/archives/579,31,15,16,106.67%,22,13,9,69.23%,40,15,25,166.67%,14,10,4,40%,180.29787838709677,269.4595685333333,-89.16,-33.09%
/articles/tsuki-betsu-kateisaien-calendar,28,31,-3,-9.68%,28,30,-2,-6.67%,34,39,-5,-12.82%,20,15,5,33.33%,106.91802657142856,26.876775032258063,80.04,297.81%
/archives/2750,27,20,7,35%,27,20,7,35%,30,21,9,42.86%,20,14,6,42.86%,111.15019622222222,120.16381444999999,-9.01,-7.5%
/archives/996,26,35,-9,-25.71%,26,32,-6,-18.75%,28,35,-7,-20%,18,19,-1,-5.26%,249.85331765384615,66.18660011428571,183.67,277.5%
/archives/3280,24,0,24,,19,0,19,,26,0,26,,12,0,12,,258.612387125,0,258.61,
/archives/3506,22,27,-5,-18.52%,16,27,-11,-40.74%,25,30,-5,-16.67%,12,18,-6,-33.33%,143.90566213636365,335.85309777777775,-191.95,-57.15%
/archives/492,22,25,-3,-12%,21,24,-3,-12.5%,27,26,1,3.85%,14,17,-3,-17.65%,157.5326096818182,136.62245324,20.91,15.31%
/archives/586,22,20,2,10%,22,18,4,22.22%,27,21,6,28.57%,14,10,4,40%,164.89637959090908,110.32869664999998,54.57,49.46%
/archives/2546,20,12,8,66.67%,20,12,8,66.67%,20,12,8,66.67%,9,10,-1,-10%,55.88096265,30.39373408333334,25.49,83.86%
/archives/3189,20,0,20,,16,0,16,,20,0,20,,7,0,7,,135.33579964999998,0,135.34,
/archives/1060,19,0,19,,18,0,18,,20,0,20,,11,0,11,,78.45047142105263,0,78.45,
/archives/3229,19,20,-1,-5%,19,15,4,26.67%,19,20,-1,-5%,11,10,1,10%,118.0880675263158,157.4459571,-39.36,-25%
/archives/420,19,0,19,,19,0,19,,21,0,21,,13,0,13,,104.94643389473684,0,104.95,
/archives/209,18,29,-11,-37.93%,18,28,-10,-35.71%,20,35,-15,-42.86%,9,16,-7,-43.75%,13.877405833333333,111.43647686206896,-97.56,-87.55%
/archives/4207,18,0,18,,18,0,18,,18,0,18,,14,0,14,,197.45399672222223,0,197.45,
/archives/443,18,23,-5,-21.74%,17,23,-6,-26.09%,22,26,-4,-15.38%,10,15,-5,-33.33%,62.762881333333326,97.66230291304348,-34.9,-35.73%
/archives/2581,17,0,17,,17,0,17,,21,0,21,,13,0,13,,120.53555129411764,0,120.54,
/archives/2607,17,0,17,,16,0,16,,18,0,18,,13,0,13,,200.39179847058824,0,200.39,
/archives/2755,17,0,17,,17,0,17,,20,0,20,,12,0,12,,245.94079894117647,0,245.94,
/archives/3283,17,0,17,,16,0,16,,18,0,18,,7,0,7,,269.6049584117647,0,269.6,
/archives/3200,16,18,-2,-11.11%,15,16,-1,-6.25%,18,18,0,0%,10,9,1,11.11%,180.36301825,145.20025194444443,35.16,24.22%
/archives/663,16,18,-2,-11.11%,16,18,-2,-11.11%,16,21,-5,-23.81%,7,11,-4,-36.36%,66.78978143750001,85.13262300000001,-18.34,-21.55%
/archives/1083,15,19,-4,-21.05%,15,18,-3,-16.67%,16,20,-4,-20%,11,12,-1,-8.33%,81.02988886666665,21.060548368421053,59.97,284.75%
/archives/3103,15,0,15,,15,0,15,,15,0,15,,11,0,11,,67.63191146666666,0,67.63,
/archives/427,15,0,15,,14,0,14,,16,0,16,,10,0,10,,75.636045,0,75.64,
/archives/3636,14,14,0,0%,13,13,0,0%,17,16,1,6.25%,8,9,-1,-11.11%,236.270416,109.07658935714286,127.19,116.61%
/archives/4010,14,0,14,,9,0,9,,14,0,14,,4,0,4,,97.75883571428572,0,97.76,
/archives/439,14,0,14,,14,0,14,,16,0,16,,10,0,10,,219.8050062857143,0,219.81,
/archives/1112,13,0,13,,12,0,12,,14,0,14,,4,0,4,,29.11318715384615,0,29.11,
/archives/2124,13,0,13,,13,0,13,,14,0,14,,3,0,3,,7.713397692307693,0,7.71,
/archives/214,13,12,1,8.33%,13,11,2,18.18%,14,13,1,7.69%,9,8,1,12.5%,117.38089123076922,117.11528525,0.27,0.23%
/archives/1166,0,27,-27,-100%,0,27,-27,-100%,0,31,-31,-100%,0,20,-20,-100%,0,278.220538,-278.22,-100%
/archives/633,0,27,-27,-100%,0,25,-25,-100%,0,36,-36,-100%,0,14,-14,-100%,0,85.49931296296297,-85.5,-100%
/archives/3079,0,26,-26,-100%,0,24,-24,-100%,0,27,-27,-100%,0,18,-18,-100%,0,293.5328063076923,-293.53,-100%
/archives/2672,0,25,-25,-100%,0,22,-22,-100%,0,28,-28,-100%,0,13,-13,-100%,0,76.93515716,-76.94,-100%
/archives/4154,0,21,-21,-100%,0,20,-20,-100%,0,32,-32,-100%,0,11,-11,-100%,0,133.2009559047619,-133.2,-100%
/archives/3670,0,20,-20,-100%,0,16,-16,-100%,0,24,-24,-100%,0,13,-13,-100%,0,360.63888185,-360.64,-100%
/archives/2633,0,17,-17,-100%,0,16,-16,-100%,0,17,-17,-100%,0,10,-10,-100%,0,62.34818217647059,-62.35,-100%
/archives/240,0,16,-16,-100%,0,16,-16,-100%,0,17,-17,-100%,0,9,-9,-100%,0,69.3942396875,-69.39,-100%
/archives/2595,0,16,-16,-100%,0,16,-16,-100%,0,16,-16,-100%,0,10,-10,-100%,0,137.1557720625,-137.16,-100%
/archives/362,0,15,-15,-100%,0,15,-15,-100%,0,20,-20,-100%,0,10,-10,-100%,0,273.10707386666667,-273.11,-100%
/archives/3672,0,15,-15,-100%,0,15,-15,-100%,0,17,-17,-100%,0,6,-6,-100%,0,266.0191248666667,-266.02,-100%
/archives/4189,0,15,-15,-100%,0,14,-14,-100%,0,15,-15,-100%,0,11,-11,-100%,0,58.147635599999994,-58.15,-100%
/archives/1242,0,14,-14,-100%,0,11,-11,-100%,0,17,-17,-100%,0,10,-10,-100%,0,358.2978368571429,-358.3,-100%
/archives/2395,0,13,-13,-100%,0,9,-9,-100%,0,15,-15,-100%,0,3,-3,-100%,0,197.42301676923077,-197.42,-100%
/archives/3301,0,13,-13,-100%,0,12,-12,-100%,0,14,-14,-100%,0,9,-9,-100%,0,1274.5273283846154,-1274.53,-100%
/archives/4152,0,13,-13,-100%,0,13,-13,-100%,0,14,-14,-100%,0,10,-10,-100%,0,227.37315676923075,-227.37,-100%
