landingPagePlusQueryString,sessions_current,sessions_previous,sessions_delta,sessions_delta_pct,totalUsers_current,totalUsers_previous,totalUsers_delta,totalUsers_delta_pct,screenPageViews_current,screenPageViews_previous,screenPageViews_delta,screenPageViews_delta_pct,engagedSessions_current,engagedSessions_previous,engagedSessions_delta,engagedSessions_delta_pct,averageSessionDuration_current,averageSessionDuration_previous,averageSessionDuration_delta,averageSessionDuration_delta_pct
/jp/calendar/2026,140,0,140,,137,0,137,,728,0,728,,118,0,118,,179.30211122857142,0,179.3,
(not set),120,105,15,14.29%,117,104,13,12.5%,0,0,0,,0,0,0,,0.07116685,0.0000670952380952381,0.07,105968.41%
/jp/calendar/2026/04,113,0,113,,99,0,99,,311,0,311,,81,0,81,,135.69658442477876,0,135.7,
/archives/149,84,83,1,1.2%,75,69,6,8.7%,90,98,-8,-8.16%,17,25,-8,-32%,33.572020452380954,88.23150402409638,-54.66,-61.95%
/archives/105,79,65,14,21.54%,78,62,16,25.81%,90,80,10,12.5%,54,53,1,1.89%,94.94442881012658,140.11053507692307,-45.17,-32.24%
/jp/calendar/2026/05,71,0,71,,69,0,69,,198,0,198,,59,0,59,,258.8989785070422,0,258.9,
/archives/4006,34,36,-2,-5.56%,30,33,-3,-9.09%,35,48,-13,-27.08%,17,22,-5,-22.73%,149.6439326764706,141.8696192777778,7.77,5.48%
/archives/2590,33,74,-41,-55.41%,30,72,-42,-58.33%,33,84,-51,-60.71%,24,57,-33,-57.89%,95.18751624242424,187.86581885135135,-92.68,-49.33%
/archives/3999,30,23,7,30.43%,23,22,1,4.55%,35,24,11,45.83%,17,16,1,6.25%,207.06875656666668,89.79795578260868,117.27,130.59%
/archives/3290,26,4,22,550%,24,4,20,500%,28,4,24,600%,17,4,13,325%,65.23253065384615,36.854583,28.38,77%
/archives/185,21,17,4,23.53%,20,17,3,17.65%,21,21,0,0%,7,12,-5,-41.67%,98.7288678095238,227.3282215294118,-128.6,-56.57%
/archives/411,21,8,13,162.5%,18,8,10,125%,24,9,15,166.67%,13,6,7,116.67%,59.85232014285713,351.780988375,-291.93,-82.99%
/archives/3017,20,0,20,,16,0,16,,20,0,20,,9,0,9,,52.28890905000001,0,52.29,
/articles/tsuki-betsu-kateisaien-calendar,20,11,9,81.82%,19,11,8,72.73%,28,11,17,154.55%,11,4,7,175%,36.82787435,8.783867181818183,28.04,319.27%
/,19,14,5,35.71%,19,14,5,35.71%,20,21,-1,-4.76%,1,2,-1,-50%,10.169694368421053,10.520504214285713,-0.35,-3.33%
/archives/1166,17,10,7,70%,17,10,7,70%,19,12,7,58.33%,12,8,4,50%,197.6715048235294,415.1538944,-217.48,-52.39%
/jp/calendar,17,30,-13,-43.33%,16,28,-12,-42.86%,169,126,43,34.13%,13,28,-15,-53.57%,171.11407764705882,310.28592183333336,-139.17,-44.85%
/archives/240,16,0,16,,16,0,16,,17,0,17,,9,0,9,,69.3942396875,0,69.39,
/archives/3079,16,10,6,60%,14,10,4,40%,16,11,5,45.45%,12,6,6,100%,167.8565583125,494.61480309999996,-326.76,-66.06%
/archives/3506,15,12,3,25%,15,12,3,25%,16,14,2,14.29%,9,9,0,0%,168.3591404,545.2205445,-376.86,-69.12%
/archives/492,15,10,5,50%,14,10,4,40%,16,10,6,60%,9,8,1,12.5%,60.43745933333333,250.8999441,-190.46,-75.91%
/archives/996,15,20,-5,-25%,14,18,-4,-22.22%,15,20,-5,-25%,5,14,-9,-64.29%,37.11323053333333,87.9916273,-50.88,-57.82%
/jp/calendar/2026/06,15,0,15,,14,0,14,,98,0,98,,12,0,12,,215.96666046666667,0,215.97,
/tools/spacing,14,14,0,0%,14,14,0,0%,16,29,-13,-44.83%,8,9,-1,-11.11%,281.06656664285714,235.90426642857142,45.16,19.14%
/archives/209,13,16,-3,-18.75%,12,16,-4,-25%,16,19,-3,-15.79%,8,8,0,0%,63.96690307692307,150.0055055625,-86.04,-57.36%
/archives/2672,13,12,1,8.33%,12,11,1,9.09%,15,13,2,15.38%,9,4,5,125%,140.5302976923077,8.040421583333334,132.49,1647.8%
/archives/586,13,7,6,85.71%,11,7,4,57.14%,14,7,7,100%,6,4,2,50%,70.63472923076924,184.0460647142857,-113.41,-61.62%
/archives/3670,11,9,2,22.22%,9,8,1,12.5%,13,11,2,18.18%,7,6,1,16.67%,365.2610191818182,354.9896028888889,10.27,2.89%
/archives/443,11,12,-1,-8.33%,11,12,-1,-8.33%,12,14,-2,-14.29%,7,8,-1,-12.5%,159.987557,40.53082,119.46,294.73%
/archives/214,10,2,8,400%,9,2,7,350%,10,3,7,233.33%,7,1,6,600%,105.6100854,174.64128449999998,-69.03,-39.53%
/archives/2595,10,6,4,66.67%,10,6,4,66.67%,10,6,4,66.67%,7,3,4,133.33%,135.3617949,140.14573399999998,-4.78,-3.41%
/archives/579,10,5,5,100%,8,5,3,60%,10,5,5,100%,5,5,0,0%,87.0486622,634.2813812,-547.23,-86.28%
/archives/1083,9,10,-1,-10%,8,10,-2,-20%,9,11,-2,-18.18%,5,7,-2,-28.57%,25.271983,17.2702572,8,46.33%
/archives/2395,9,4,5,125%,5,4,1,25%,11,4,7,175%,2,1,1,100%,199.8095948888889,192.05321600000002,7.76,4.04%
/archives/2546,8,4,4,100%,8,4,4,100%,8,4,4,100%,6,4,2,50%,29.088085,33.00503225,-3.92,-11.87%
/archives/2633,8,9,-1,-11.11%,7,9,-2,-22.22%,8,9,-1,-11.11%,5,5,0,0%,26.484925750000002,94.22663233333334,-67.74,-71.89%
/archives/2750,8,12,-4,-33.33%,8,12,-4,-33.33%,9,12,-3,-25%,6,8,-2,-25%,31.24623175,179.44220291666667,-148.2,-82.59%
/archives/1242,7,7,0,0%,5,6,-1,-16.67%,8,9,-1,-11.11%,4,6,-2,-33.33%,68.47486342857142,648.1208102857144,-579.65,-89.43%
/archives/3200,7,11,-4,-36.36%,7,9,-2,-22.22%,7,11,-4,-36.36%,5,4,1,25%,325.970644,30.164547909090913,295.81,980.64%
/archives/4152,7,6,1,16.67%,7,6,1,16.67%,7,7,0,0%,5,5,0,0%,250.11728171428572,200.83834433333334,49.28,24.54%
/archives/4189,7,8,-1,-12.5%,7,7,0,0%,7,8,-1,-12.5%,4,7,-3,-42.86%,75.99604157142858,42.530280375,33.47,78.69%
/archives/663,7,11,-4,-36.36%,7,11,-4,-36.36%,8,13,-5,-38.46%,3,8,-5,-62.5%,49.37001585714285,107.89064572727271,-58.52,-54.24%
/archives/2581,6,5,1,20%,6,4,2,50%,6,5,1,20%,4,3,1,33.33%,124.73971333333333,113.10744479999998,11.63,10.28%
/archives/3636,6,8,-2,-25%,5,8,-3,-37.5%,6,10,-4,-40%,3,6,-3,-50%,104.2526335,112.69455624999999,-8.44,-7.49%
/archives/3930,6,4,2,50%,5,4,1,25%,6,4,2,50%,4,3,1,33.33%,173.6349255,97.40058475000001,76.23,78.27%
/archives/598,6,5,1,20%,6,5,1,20%,7,6,1,16.67%,5,2,3,150%,259.949587,89.5759884,170.37,190.2%
/archives/1060,5,4,1,25%,5,4,1,25%,5,5,0,0%,4,2,2,100%,43.1116304,95.41849099999999,-52.31,-54.82%
/archives/2124,5,4,1,25%,5,4,1,25%,5,4,1,25%,2,2,0,0%,13.695038399999998,15.971848999999999,-2.28,-14.26%
/archives/2636,5,2,3,150%,5,2,3,150%,5,2,3,150%,5,2,3,150%,127.64726499999999,175.869885,-48.22,-27.42%
/archives/2755,5,5,0,0%,5,5,0,0%,7,5,2,40%,5,3,2,66.67%,126.77637139999999,79.45467299999999,47.32,59.56%
/archives/2776,5,5,0,0%,5,5,0,0%,5,5,0,0%,5,4,1,25%,619.2348721999999,164.4070388,454.83,276.65%
/archives/333,5,6,-1,-16.67%,5,5,0,0%,5,7,-2,-28.57%,2,3,-1,-33.33%,27.098593800000003,67.81269400000001,-40.71,-60.04%
/archives/342,5,0,5,,3,0,3,,6,0,6,,2,0,2,,16.572501199999998,0,16.57,
/archives/362,5,10,-5,-50%,5,10,-5,-50%,8,12,-4,-33.33%,4,6,-2,-33.33%,335.5053924,241.9079146,93.6,38.69%
/archives/3672,5,10,-5,-50%,5,10,-5,-50%,5,12,-7,-58.33%,1,5,-4,-80%,171.3068562,313.3752592,-142.07,-45.33%
/archives/4202,5,0,5,,5,0,5,,5,0,5,,4,0,4,,34.306921599999995,0,34.31,
/archives/4204,5,0,5,,4,0,4,,6,0,6,,4,0,4,,439.9775622,0,439.98,
/archives/427,5,0,5,,5,0,5,,5,0,5,,2,0,2,,8.326304,0,8.33,
/archives/439,5,4,1,25%,5,4,1,25%,5,4,1,25%,3,4,-1,-25%,31.626453599999998,59.2896465,-27.66,-46.66%
/archives/580,5,7,-2,-28.57%,5,7,-2,-28.57%,5,7,-2,-28.57%,3,4,-1,-25%,90.20845519999999,91.07114514285715,-0.86,-0.95%
/archives/583,5,0,5,,5,0,5,,5,0,5,,0,0,0,,1.6966274,0,1.7,
/archives/633,5,22,-17,-77.27%,5,20,-15,-75%,8,28,-20,-71.43%,3,11,-8,-72.73%,34.8551482,97.00935040909093,-62.15,-64.07%
/image-audio-to-video,5,0,5,,5,0,5,,6,0,6,,4,0,4,,539.2803194,0,539.28,
/archives/2550,4,4,0,0%,3,3,0,0%,4,5,-1,-20%,0,2,-2,-100%,422.5861055,32.39403125,390.19,1204.52%
/archives/2607,4,5,-1,-20%,4,5,-1,-20%,5,5,0,0%,4,3,1,33.33%,100.048078,17.390847,82.66,475.29%
/archives/2740,4,0,4,,3,0,3,,4,0,4,,2,0,2,,273.37560875,0,273.38,
/archives/3011,4,0,4,,4,0,4,,4,0,4,,0,0,0,,1.28146725,0,1.28,
/archives/3103,4,2,2,100%,4,2,2,100%,5,2,3,150%,4,2,2,100%,113.5777435,39.467477,74.11,187.78%
